city,x,y,terrain
1,7,31,3.826860309020007
2,46,23,3.462845015797867
3,18,2,4.8821878174389095
4,13,28,2.0562978932919083
5,22,29,4.441264043321366
6,2,31,3.5978935179394975
7,30,44,3.185100454512944
8,37,47,4.994761224533267
9,30,33,4.135656150259634
10,24,16,1.2801691545531675
11,2,1,2.766364461759023
12,38,18,1.3585337561760902
13,41,34,2.851006575361224
14,15,25,2.3869191051179994
15,2,50,3.982994835256134
16,1,47,4.559447882298365
17,44,33,2.2225928210027166
18,30,43,2.760047988967228
19,24,33,4.142432145539693
20,13,27,4.797093986328287
21,35,37,1.7859624022055165
22,38,46,4.388172648717838
23,33,47,1.465206468674392
24,1,4,2.4041361154814322
25,31,50,3.45032288531269
26,47,17,4.223727946255289
27,19,17,1.2104317758392154
28,11,16,2.954110362993465
29,49,25,3.9686950084997212
30,49,42,2.751215116073294
31,1,13,2.895966366543749
32,6,48,4.667336739917289
33,12,12,3.230783408028726
34,4,23,3.7361518020510465
35,32,33,2.4628666957080205
36,22,39,4.295221613605683
37,28,25,2.437239921538791
38,32,7,4.207782078701201
39,48,1,3.8907224159200524
40,8,19,1.384831098877549
41,18,16,4.73354467291722
42,28,30,2.895163197522347
43,28,22,1.1811562762075258
44,4,14,1.3013774225795718
45,35,16,3.9830470242909275
46,27,47,3.085029149287892
47,8,32,3.5083528139726456
48,29,3,2.3699685134094683
49,33,6,1.4943631008393887
50,31,37,3.0457540957114184
