city,x,y,terrain
1,23,30,1.6041818330737714
2,22,7,1.4416666685077009
3,4,8,1.1630696383541803
4,21,16,1.3038607974012668
5,20,12,1.057399333173167
6,3,13,1.8308986054178433
7,9,11,1.194848742889819
8,16,9,1.3115386129963926
9,16,7,1.0815622327266554
10,27,22,1.6576867289651025
11,21,16,1.1589871182166216
12,24,29,1.039368023682274
13,7,7,1.398667549903145
14,26,15,1.6100418718332485
15,26,11,1.3261740720348887
16,8,2,1.0035232829646772
17,13,10,1.7131328844493336
18,23,19,1.7841447902782321
19,1,29,1.4064874008788872
20,22,9,1.4900786140168356
21,27,19,1.5589905844422525
22,2,14,1.7626438478535398
23,14,17,1.7798674181933385
24,12,15,1.2062066805447589
25,29,22,1.1903216212656105
26,19,12,1.7612768251799698
27,19,13,1.3133886424707903
28,9,5,1.4163204901629907
29,26,16,1.3998007195431792
30,16,15,1.508073896095062
