city,x,y,terrain
1,8,20,0.9887298992945903
2,18,11,0.5542599633005201
3,1,15,1.080413998591398
4,13,15,1.6508157911618415
5,7,16,1.1510873264282806
6,2,5,1.585067259453356
7,6,11,1.833893039229546
8,11,14,0.552307957281843
9,13,1,0.7075950586843833
10,13,7,0.9691102017594019
11,2,8,0.7401923415865704
12,10,20,1.9332737181169586
13,20,11,0.5952676502249079
14,13,9,1.0790713980386357
15,16,16,0.6123436531941764
16,12,7,1.768093720872193
17,3,9,1.4395661482830138
18,20,15,0.6270333175522075
19,1,2,1.8717963999432157
20,18,1,1.3887357538547471
