city,x,y,terrain
1,32,35,0.9463982890650287
2,31,31,1.5872743025320388
3,31,17,1.1227049753402993
4,40,19,0.8084834518568897
5,20,31,0.622437029072453
6,3,15,0.8682946780691312
7,30,24,0.8967376989038218
8,36,20,1.5300462666185028
9,23,16,0.9251490803478337
10,39,32,0.809531861130798
11,17,19,0.7159142894086848
12,25,6,0.8775378928640849
13,17,38,1.048074324363667
14,1,24,0.7413279256341276
15,26,4,1.3049293692543733
16,22,24,0.8112077506431934
17,20,19,1.8738850188477651
18,20,30,0.6442421695174165
19,9,18,1.094197519786177
20,3,20,1.0103420097835139
21,35,10,1.9190154413866725
22,37,37,1.545004282286182
23,14,3,1.685819090168823
24,38,38,1.4036184616492489
25,17,18,1.8680653997403525
26,19,9,1.75661547604578
27,6,5,1.7698989213680372
28,32,37,1.529893795652639
29,31,34,0.5449242921048474
30,40,9,1.0356379413612216
31,30,5,1.571716297293147
32,27,40,0.6211910478039553
33,10,15,0.9388979001968283
34,26,32,1.776387187678893
35,17,37,1.0641920032004375
36,24,35,0.948265959317866
37,17,30,1.221055494903952
38,21,28,0.9220162227599353
39,20,23,1.6342197396048253
40,32,26,1.7843082184571424
